epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.792,2.707,5.61058,2.73825,0,0,0,0,4.0504,6.4995,3.459,0,0,0
2,15.47,2.78639,5.14913,2.92965,0.00014,0.01667,9e-05,1e-05,3.84697,5.62968,3.27111,1.17822e-06,1.17822e-06,1.17822e-06
3,16.1169,2.83327,5.71592,2.67743,0.00057,0.06667,0.00084,0.00013,3.86632,5.4363,3.28238,2.33288e-06,2.33288e-06,2.33288e-06
4,16.7609,2.70514,5.44023,2.64294,0.17318,0.01667,0.0084,0.00411,3.27812,5.15796,3.36989,3.46397e-06,3.46397e-06,3.46397e-06
5,17.3962,3.26887,5.75596,3.05647,0.17183,0.01667,0.00535,0.00321,3.24766,5.05292,3.38364,4.5715e-06,4.5715e-06,4.5715e-06
6,18.027,2.752,5.57602,2.72137,0.00017,0.01667,0.00536,0.00321,3.36943,5.37775,3.45692,5.65548e-06,5.65548e-06,5.65548e-06
7,18.6665,2.93789,5.70338,2.87058,0.00029,0.01667,0.00157,0.00079,3.30768,5.50923,3.51376,6.71588e-06,6.71588e-06,6.71588e-06
8,19.2916,3.30113,5.59936,3.22129,0.00033,0.01667,0.00087,0.00043,3.30096,5.41322,3.6164,7.75273e-06,7.75273e-06,7.75273e-06
9,19.9201,2.94769,5.65642,2.86064,0.00035,0.01667,0.00109,0.00047,3.2229,5.47722,3.61617,8.76602e-06,8.76602e-06,8.76602e-06
10,20.5468,2.74148,5.27847,2.77845,0.00036,0.01667,0.00092,0.00042,3.17299,5.49146,3.6061,9.75574e-06,9.75574e-06,9.75574e-06
11,21.1762,2.59027,5.19465,2.7382,0.00037,0.01667,0.00076,0.00039,3.14213,5.48442,3.61637,1.07219e-05,1.07219e-05,1.07219e-05
12,21.8009,2.94446,5.28897,2.86918,0.00033,0.01667,0.00087,0.00046,3.13414,5.48634,3.60349,1.16645e-05,1.16645e-05,1.16645e-05
13,22.4228,3.04089,5.31756,3.15985,0.00034,0.01667,0.00148,0.00063,3.03702,5.40425,3.58497,1.25835e-05,1.25835e-05,1.25835e-05
14,23.0691,2.735,5.91064,2.92596,0.00033,0.01667,0.00114,0.00052,3.03568,5.39774,3.561,1.3479e-05,1.3479e-05,1.3479e-05
15,23.6969,2.69459,5.04755,2.88803,0.00033,0.01667,0.0009,0.00044,3.03881,5.39684,3.53764,1.43509e-05,1.43509e-05,1.43509e-05
16,24.3247,2.90844,5.1148,2.67298,0.0003,0.01667,0.00058,0.00034,3.04733,5.39766,3.55381,1.51993e-05,1.51993e-05,1.51993e-05
17,24.9539,2.59098,5.40825,2.74119,0.00028,0.01667,0.00044,0.00028,3.00601,5.43515,3.53287,1.60241e-05,1.60241e-05,1.60241e-05
18,25.5535,2.91223,5.61377,2.64537,0.00028,0.01667,0.00044,0.00028,3.00601,5.43515,3.53287,1.68253e-05,1.68253e-05,1.68253e-05
19,26.1813,2.60323,5.17966,2.58454,0.00023,0.01667,0.00034,0.00017,3.06663,5.45466,3.49195,1.7603e-05,1.7603e-05,1.7603e-05
20,26.7775,2.66277,5.60646,2.5862,0.00023,0.01667,0.00034,0.00017,3.06663,5.45466,3.49195,1.83571e-05,1.83571e-05,1.83571e-05
21,27.4242,2.59556,5.3285,2.74824,0.00022,0.01667,0.00037,0.00014,3.10917,5.45461,3.44405,1.90876e-05,1.90876e-05,1.90876e-05
22,28.0247,2.73856,5.06814,2.54174,0.00022,0.01667,0.00037,0.00014,3.10917,5.45461,3.44405,1.97946e-05,1.97946e-05,1.97946e-05
23,28.646,2.76128,5.47432,2.78056,0.0004,0.03333,0.00048,0.00017,3.21664,5.34733,3.4126,2.0478e-05,2.0478e-05,2.0478e-05
24,29.249,2.75374,5.17501,2.79048,0.0004,0.03333,0.00048,0.00017,3.21664,5.34733,3.4126,2.11379e-05,2.11379e-05,2.11379e-05
25,29.8834,3.35788,6.39165,3.23378,0.00037,0.03333,0.00057,0.00018,3.29548,5.35659,3.41133,2.17741e-05,2.17741e-05,2.17741e-05
26,30.4936,2.95855,5.20421,2.78989,0.00037,0.03333,0.00057,0.00018,3.29548,5.35659,3.41133,2.23869e-05,2.23869e-05,2.23869e-05
27,31.1243,2.72295,5.26766,2.6866,0.00035,0.03333,0.00056,0.00014,3.35175,5.36898,3.41904,2.2976e-05,2.2976e-05,2.2976e-05
28,31.7254,2.68566,5.2585,2.6481,0.00035,0.03333,0.00056,0.00014,3.35175,5.36898,3.41904,2.35417e-05,2.35417e-05,2.35417e-05
29,32.3561,3.19067,5.47899,2.88877,0.00051,0.05,0.00067,0.00018,3.44409,5.35615,3.41251,2.40837e-05,2.40837e-05,2.40837e-05
30,32.9573,2.71727,5.3981,2.87639,0.00051,0.05,0.00067,0.00018,3.44409,5.35615,3.41251,2.46022e-05,2.46022e-05,2.46022e-05
31,33.5831,3.13994,5.50502,3.0455,0.00049,0.05,0.0006,0.00013,3.50406,5.34192,3.39691,2.50971e-05,2.50971e-05,2.50971e-05
32,34.1908,2.72823,5.4424,2.79991,0.00049,0.05,0.0006,0.00013,3.50406,5.34192,3.39691,2.55685e-05,2.55685e-05,2.55685e-05
33,34.8086,2.74533,5.37655,2.86524,0.00049,0.05,0.0005,0.00011,3.54239,5.34066,3.38929,2.60163e-05,2.60163e-05,2.60163e-05
34,35.4098,2.6889,5.07891,2.79485,0.00049,0.05,0.0005,0.00011,3.54239,5.34066,3.38929,2.64405e-05,2.64405e-05,2.64405e-05
35,36.0364,2.67596,5.5243,2.78615,0.00049,0.05,0.00046,0.00011,3.596,5.34035,3.38455,2.68412e-05,2.68412e-05,2.68412e-05
36,36.6389,2.68794,5.23522,2.86095,0.00049,0.05,0.00046,0.00011,3.596,5.34035,3.38455,2.72183e-05,2.72183e-05,2.72183e-05
37,37.2727,2.79401,5.02489,2.53955,0.00048,0.05,0.00043,9e-05,3.6536,5.31196,3.37306,2.75718e-05,2.75718e-05,2.75718e-05
38,37.883,2.37357,5.21827,2.32493,0.00048,0.05,0.00043,9e-05,3.6536,5.31196,3.37306,2.79018e-05,2.79018e-05,2.79018e-05
39,38.5279,2.60238,5.33589,2.65228,0.00064,0.06667,0.00064,0.00014,3.63835,5.23777,3.32839,2.82082e-05,2.82082e-05,2.82082e-05
40,39.1435,2.54868,5.51332,2.54944,0.00064,0.06667,0.00064,0.00014,3.63835,5.23777,3.32839,2.84911e-05,2.84911e-05,2.84911e-05
41,39.7845,2.75709,5.48565,2.69889,0.00063,0.06667,0.00063,0.00015,3.60235,5.24981,3.29853,2.87504e-05,2.87504e-05,2.87504e-05
42,40.3914,2.55973,5.25328,2.54935,0.00063,0.06667,0.00063,0.00015,3.60235,5.24981,3.29853,2.89861e-05,2.89861e-05,2.89861e-05
43,41.0273,2.7744,5.3351,2.80023,0.00063,0.06667,0.00062,0.00019,3.56071,5.29528,3.26287,2.91983e-05,2.91983e-05,2.91983e-05
44,41.6303,2.80117,5.43736,2.84678,0.00063,0.06667,0.00062,0.00019,3.56071,5.29528,3.26287,2.93869e-05,2.93869e-05,2.93869e-05
45,42.2663,2.50098,4.87518,2.5583,0.00063,0.06667,0.00097,0.00025,3.5317,5.31738,3.2308,2.9552e-05,2.9552e-05,2.9552e-05
46,42.878,2.31157,5.24161,2.63333,0.00063,0.06667,0.00097,0.00025,3.5317,5.31738,3.2308,2.96935e-05,2.96935e-05,2.96935e-05
47,43.5183,2.84453,5.68772,2.82734,0.00063,0.06667,0.00107,0.00032,3.45659,5.28327,3.18392,2.98114e-05,2.98114e-05,2.98114e-05
48,44.1199,2.43835,5.27122,2.67174,0.00063,0.06667,0.00107,0.00032,3.45659,5.28327,3.18392,2.99058e-05,2.99058e-05,2.99058e-05
49,44.7456,2.53406,5.49338,2.55987,0.00062,0.06667,0.00103,0.0004,3.41493,5.28455,3.14855,2.99766e-05,2.99766e-05,2.99766e-05
50,45.3507,2.48656,5.05653,2.58567,0.00062,0.06667,0.00103,0.0004,3.41493,5.28455,3.14855,3.00238e-05,3.00238e-05,3.00238e-05
51,45.9844,2.70891,5.00949,2.68954,0.00062,0.06667,0.00116,0.00046,3.3423,5.24428,3.09886,3.00475e-05,3.00475e-05,3.00475e-05
52,47.2437,2.60378,4.93134,2.58857,0.00062,0.06667,0.00116,0.00046,3.3423,5.24428,3.09886,3.00476e-05,3.00476e-05,3.00476e-05
53,47.8536,2.5039,5.45435,2.60512,0.00062,0.06667,0.00116,0.00046,3.3423,5.24428,3.09886,3.00242e-05,3.00242e-05,3.00242e-05
54,48.4714,2.43621,4.94587,2.53155,0.00062,0.06667,0.00129,0.00051,3.24833,5.1566,3.04844,2.99772e-05,2.99772e-05,2.99772e-05
55,49.0589,2.51284,5.02221,2.76712,0.00062,0.06667,0.00129,0.00051,3.24833,5.1566,3.04844,2.99066e-05,2.99066e-05,2.99066e-05
56,49.6464,2.59148,5.00535,2.623,0.00062,0.06667,0.00129,0.00051,3.24833,5.1566,3.04844,2.98125e-05,2.98125e-05,2.98125e-05
57,50.2771,2.38743,5.17448,2.50396,0.00062,0.06667,0.00158,0.00067,3.14493,5.13577,2.98636,2.96948e-05,2.96948e-05,2.96948e-05
58,50.8632,3.01086,6.39091,2.89967,0.00062,0.06667,0.00158,0.00067,3.14493,5.13577,2.98636,2.95535e-05,2.95535e-05,2.95535e-05
59,51.451,2.44532,5.51273,2.66607,0.00062,0.06667,0.00158,0.00067,3.14493,5.13577,2.98636,2.93887e-05,2.93887e-05,2.93887e-05
60,52.0649,2.41854,4.96012,2.63052,0.00062,0.06667,0.00175,0.00058,3.04558,5.08263,2.92134,2.92003e-05,2.92003e-05,2.92003e-05
61,52.6502,2.82383,5.3148,2.74945,0.00062,0.06667,0.00175,0.00058,3.04558,5.08263,2.92134,2.89884e-05,2.89884e-05,2.89884e-05
62,53.2395,2.6488,5.35131,2.71359,0.00062,0.06667,0.00175,0.00058,3.04558,5.08263,2.92134,2.87529e-05,2.87529e-05,2.87529e-05
63,53.8555,2.44716,5.51809,2.40814,0.00063,0.06667,0.00187,0.00065,2.96909,5.04846,2.92024,2.84938e-05,2.84938e-05,2.84938e-05
64,54.4465,2.2411,5.24561,2.34499,0.00063,0.06667,0.00187,0.00065,2.96909,5.04846,2.92024,2.82112e-05,2.82112e-05,2.82112e-05
65,55.0311,2.432,5.09313,2.46752,0.00063,0.06667,0.00187,0.00065,2.96909,5.04846,2.92024,2.7905e-05,2.7905e-05,2.7905e-05
66,55.6962,2.59906,5.00023,2.82247,0.00063,0.06667,0.00189,0.00076,2.89958,5.05359,2.8995,2.75753e-05,2.75753e-05,2.75753e-05
67,56.2848,2.32761,4.94106,2.45488,0.00063,0.06667,0.00189,0.00076,2.89958,5.05359,2.8995,2.7222e-05,2.7222e-05,2.7222e-05
68,56.8751,2.5739,5.17939,2.43391,0.00063,0.06667,0.00189,0.00076,2.89958,5.05359,2.8995,2.68451e-05,2.68451e-05,2.68451e-05
69,57.4949,2.67033,5.71968,2.7382,0.00063,0.06667,0.00202,0.00068,2.8163,5.02658,2.88817,2.64447e-05,2.64447e-05,2.64447e-05
70,58.0925,2.57221,6.39022,2.53499,0.00063,0.06667,0.00202,0.00068,2.8163,5.02658,2.88817,2.60207e-05,2.60207e-05,2.60207e-05
71,58.6826,2.51435,5.14731,2.45708,0.00063,0.06667,0.00202,0.00068,2.8163,5.02658,2.88817,2.55731e-05,2.55731e-05,2.55731e-05
72,59.3001,2.16055,5.28479,2.44618,0.00063,0.06667,0.00201,0.00072,2.75806,5.00129,2.86908,2.5102e-05,2.5102e-05,2.5102e-05
73,59.8928,2.17787,5.40507,2.63424,0.00063,0.06667,0.00201,0.00072,2.75806,5.00129,2.86908,2.46073e-05,2.46073e-05,2.46073e-05
74,60.4911,2.96604,5.16217,2.90935,0.00063,0.06667,0.00201,0.00072,2.75806,5.00129,2.86908,2.40891e-05,2.40891e-05,2.40891e-05
75,61.1162,2.53489,4.98641,2.33792,0.00048,0.05,0.00184,0.00071,2.72604,5.04279,2.85557,2.35472e-05,2.35472e-05,2.35472e-05
76,61.7115,2.26718,5.34941,2.53664,0.00048,0.05,0.00184,0.00071,2.72604,5.04279,2.85557,2.29819e-05,2.29819e-05,2.29819e-05
77,62.3039,2.32511,4.87964,2.4454,0.00048,0.05,0.00184,0.00071,2.72604,5.04279,2.85557,2.23929e-05,2.23929e-05,2.23929e-05
78,62.9231,2.40777,4.82943,2.49188,0.00048,0.05,0.00157,0.0006,2.72975,5.05005,2.872,2.17805e-05,2.17805e-05,2.17805e-05
79,63.5166,2.87893,5.71268,2.80082,0.00048,0.05,0.00157,0.0006,2.72975,5.05005,2.872,2.11444e-05,2.11444e-05,2.11444e-05
80,64.1209,2.60825,5.18436,2.6209,0.00048,0.05,0.00157,0.0006,2.72975,5.05005,2.872,2.04848e-05,2.04848e-05,2.04848e-05
81,64.7516,2.46205,4.89299,2.43279,0.00049,0.05,0.00148,0.00056,2.72882,5.09646,2.87892,1.98016e-05,1.98016e-05,1.98016e-05
82,65.3541,1.87456,4.94641,2.1781,0.00049,0.05,0.00148,0.00056,2.72882,5.09646,2.87892,1.90949e-05,1.90949e-05,1.90949e-05
83,65.9486,2.48051,5.19623,2.41056,0.00049,0.05,0.00148,0.00056,2.72882,5.09646,2.87892,1.83646e-05,1.83646e-05,1.83646e-05
84,66.5754,2.53059,4.85926,2.7887,0.00049,0.05,0.00124,0.00047,2.7372,5.11954,2.87461,1.76107e-05,1.76107e-05,1.76107e-05
85,67.1755,2.3367,4.90321,2.48488,0.00049,0.05,0.00124,0.00047,2.7372,5.11954,2.87461,1.68333e-05,1.68333e-05,1.68333e-05
86,67.7663,2.40142,4.97013,2.61023,0.00049,0.05,0.00124,0.00047,2.7372,5.11954,2.87461,1.60323e-05,1.60323e-05,1.60323e-05
87,68.3624,2.05813,4.85039,2.34019,0.00049,0.05,0.00124,0.00047,2.7372,5.11954,2.87461,1.52077e-05,1.52077e-05,1.52077e-05
88,68.9791,2.68567,4.97852,2.65188,0.00049,0.05,0.00111,0.00034,2.76498,5.15775,2.87289,1.43596e-05,1.43596e-05,1.43596e-05
89,69.5734,2.40438,5.09489,2.62607,0.00049,0.05,0.00111,0.00034,2.76498,5.15775,2.87289,1.34879e-05,1.34879e-05,1.34879e-05
90,70.169,2.47274,5.13022,2.36981,0.00049,0.05,0.00111,0.00034,2.76498,5.15775,2.87289,1.25927e-05,1.25927e-05,1.25927e-05
91,79.467,2.11506,5.50923,2.4463,0.00049,0.05,0.00111,0.00034,2.76498,5.15775,2.87289,1.16739e-05,1.16739e-05,1.16739e-05
92,80.1652,2.14122,5.33015,2.30228,0.00049,0.05,0.00131,0.00034,2.76314,5.16091,2.90261,1.07315e-05,1.07315e-05,1.07315e-05
93,80.7998,1.82562,5.20488,2.29344,0.00049,0.05,0.00131,0.00034,2.76314,5.16091,2.90261,9.76562e-06,9.76562e-06,9.76562e-06
94,81.3955,2.16291,5.37435,2.48776,0.00049,0.05,0.00131,0.00034,2.76314,5.16091,2.90261,8.77613e-06,8.77613e-06,8.77613e-06
95,81.9917,2.14475,5.32727,2.47839,0.00049,0.05,0.00131,0.00034,2.76314,5.16091,2.90261,7.76308e-06,7.76308e-06,7.76308e-06
96,82.6134,2.36316,5.70006,2.66961,0.0005,0.05,0.00096,0.00026,2.78812,5.23537,2.93317,6.72648e-06,6.72648e-06,6.72648e-06
97,83.2048,2.16387,5.53843,2.41917,0.0005,0.05,0.00096,0.00026,2.78812,5.23537,2.93317,5.6663e-06,5.6663e-06,5.6663e-06
98,83.8003,2.22419,5.24887,2.60188,0.0005,0.05,0.00096,0.00026,2.78812,5.23537,2.93317,4.58257e-06,4.58257e-06,4.58257e-06
99,84.403,2.28526,5.54698,2.62907,0.0005,0.05,0.00096,0.00026,2.78812,5.23537,2.93317,3.47528e-06,3.47528e-06,3.47528e-06
100,85.0278,2.08431,5.29263,2.39759,0.0005,0.05,0.00076,0.00022,2.82669,5.26651,2.97212,2.34442e-06,2.34442e-06,2.34442e-06
